a52dec 0.7.4-10
python-xcffib 0.9.0-1
python2 2.7.18-1
python2-appdirs 1.4.3-5
python2-ordered-set 3.1.1-1
python2-packaging 20.3-1
python2-pyparsing 2.4.7-1
python2-setuptools 2:44.1.0-1
python2-six 1.14.0-1
qca 2.3.0-1
qpdf 10.0.1-1
qqc2-desktop-style 5.69.0-1
qrencode 4.0.2-1
qt5-base 5.14.2-2
qt5-declarative 5.14.2-1
qt5-graphicaleffects 5.14.2-1
qt5-imageformats 5.14.2-1
qt5-location 5.14.2-2
qt5-multimedia 5.14.2-1
qt5-quickcontrols 5.14.2-1
qt5-quickcontrols2 5.14.2-1
qt5-script 5.14.2-1
qt5-sensors 5.14.2-1
qt5-speech 5.14.2-1
qt5-svg 5.14.2-1
qt5-tools 5.14.2-2
qt5-wayland 5.14.2-1
qt5-webchannel 5.14.2-1
qt5-webengine 5.14.2-2
qt5-webkit 5.212.0alpha4-4
qt5-x11extras 5.14.2-1
radeontop 1.2-1
ranger 1.9.3-1
raptor 2.0.15-13
rasqal 1:0.9.33-3
re2 1:20200401-1
readline 8.0.004-1
redland 1:1.0.17-7
reiserfsprogs 3.6.27-3
remmina 1:1.4.3-1
rest 0.8.1-3
ripgrep 12.0.1-1
rofi 1.5.4-1
rtkit 0.13-1
ruby 2.7.1-2
ruby-diff-lcs 1.3-4
ruby-irb 1.2.1-1
ruby-manpages 0.6.1-3
ruby-optimist 3.0.0-2
ruby-paint 2.1.0-2
ruby-rainbow 3.0.0-5
ruby-rdoc 6.2.0-2
ruby-reline 0.0.7-2
ruby-rspec 3.8.0-3
ruby-rspec-core 3.8.0-3
ruby-rspec-expectations 3.8.1-3
ruby-rspec-mocks 3.8.0-3
ruby-rspec-support 3.8.0-3
ruby-term-ansicolor 1.6.0-3
ruby-tins 1.16.3-3
rubygems 3.1.2-4
run-parts 4.8.6.1-2
runc 1.0.0rc10-2
s-nail 14.9.19-1
sbc 1.4-1
sddm 0.18.1-2
sddm-kcm 5.18.5-1
sdl 1.2.15-13
sdl2 2.0.12-1
sed 4.8-1
semver 7.3.2-1
serf 1.3.9-3
shaderc 2020.0-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-1
sierrabreeze-kwin-decoration-git r61.0e132fa-1
signon-kwallet-extension 20.04.0-1
signon-plugin-oauth2 0.24-2
signon-ui 0.17+20171022-2
signond 8.60-1
slack-desktop 4.4.2-1
slang 2.3.2-2
smbclient 4.12.2-3
snappy 1.1.8-1
socat 1.7.3.4-1
solid 5.69.0-1
sonnet 5.69.0-1
sound-theme-freedesktop 0.8-3
source-highlight 3.1.9-2
spectacle 20.04.0-1
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2020.2-1
spotify 1:1.1.10.546-4
sqlite 3.31.1-1
srt 1.4.1-1
sshfs 3.7.0-1
startup-notification 0.12-6
stow 2.3.1-2
subversion 1.13.0-2
sudo 1.8.31.p1-1
suitesparse 5.7.2-1
sync-my-l2p 2.4.1-5
syntax-highlighting 5.69.0-1
sysfsutils 2.1.0-11
systemd 245.5-2
systemd-libs 245.5-2
systemd-sysvcompat 245.5-2
systemsettings 5.18.5-1
t1lib 5.1.2-7
taglib 1.11.1-3
talloc 2.3.1-1
